"section","fa_order","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","cs.sg form","pl.abs form","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","semantic domain","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","prioritized meaning","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=1 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN","BHVB","BiblicalHebrewVocabularyBuilderSub-Section","Occurrences","old BiblicalHebrewVocabularyBuilderSection","old BiblicalHebrewVocabularyBuilderSub-Section"
,1469,20,7814,"FKR[","שׂכר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hit nif qal","hire",,,,"Mitchel_Sec5.S (19)",,,"qal: hire; ni: hire oneself out; hit: hire oneself out.","qal: hire; qal pass: ; ni: hire oneself out; pi: ; pu: ; hit: hire oneself out; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","hire","hire oneself out",,,"hire oneself out",,,,,,,,,,,,"Remaining",,20,"Remaining",
,1478,20,6375,"PQX[","פקח ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif qal","open",,,,"Mitchel_Sec5.Q (21)",,,"qal: open; ni: be opened.","qal: open; qal pass: ; ni: be opened; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","open","be opened",,,,,,,,,,,,,,,"Remaining",,20,"Remaining",
,1543,19,2082,"ZNX[","זנח I",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif qal","reject",,,,"Mitchel_Sec5.Q (21)",,,"qal: reject; hi: reject, exclude.","qal: reject; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: reject, exclude; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","reject",,,,,"reject, exclude",,,,,,,,,,,"Remaining",,19,"Remaining",
,1553,18,7810,"CKR[","שׁכר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif hit piel qal","be, become drunk",,,,"Mitchel_Sec5.S (19)",,,"qal: be, become drunk; pi: make drunk; hit: behave drunken; hi: make drunk.","qal: be, become drunk; qal pass: ; ni: ; pi: make drunk; pu: ; hit: behave drunken; hi: make drunk; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be, become drunk",,"make drunk",,"behave drunken","make drunk",,,,,,,,,,,"Remaining",,18,"Remaining",
,1621,17,1149,"BY<[","בצע ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","piel qal","cut off; make profit; stop",,,,"Mitchel_Sec5.V (16)",,,"qal: cut off piece; pi: cut off; finish.","qal: cut off piece; qal pass: ; ni: ; pi: cut off; finish; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","cut off piece",,"cut off; finish",,,,,,,,,,,,,,"Remaining",,17,"Remaining",
,1650,17,4173,"MVR[","מטר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif nif","be rained upon",,,,"Mitchel_Sec5.U (17)",,,"hi: have (make) rain fall; ni: be rained on.","hi: have (make) rain fall; qal: ; qal pass: ; ni: be rained on; pi: ; pu: ; hit: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","H=6",,"be rained on",,,,"have (make) rain fall",,,,,,,,,,,"Remaining",,17,"Remaining",
,1660,17,6829,"QDR[","קדר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif hit qal","become dark; be mourning, soiled",,,,"Mitchel_Sec5.U (17)",,,"qal: grow dark, turbid; hit: grow dark; hi: darken; cause to mourn.","qal: grow dark, turbid; qal pass: ; ni: ; pi: ; pu: ; hit: grow dark; hi: darken; cause to mourn; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","grow dark, turbid",,,,"grow dark","darken; cause to mourn",,,,,,,,,,,"Remaining",,17,"Remaining",
,1898,14,7014,"QYR[","קצר I",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif piel qal","be short; be impatient",,,,"Mitchel_Sec5.W (15)",,,"qal: be short; be impatient; pi: shorten; hi: shorten.","qal: be short; be impatient; qal pass: ; ni: ; pi: shorten; pu: ; hit: ; hi: shorten; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be short; be impatient",,"shorten",,,"shorten",,,,,,,,,,,"Remaining",,14,"Remaining",
,2047,12,1433,"GZR[","גזר I",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif qal","cut",,,,"Mitchel_Sec5.Z (12)",,,"ni: be cut; qal: cut; decide.","ni: be cut; qal: cut; decide; qal pass: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","N=2","cut; decide","be cut",,,,,,,,,,,,,,,"Remaining",,12,"Remaining",
,2148,11,1766,"DQR[","דקר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif pual qal","pierce, thrust through",,,,"Mitchel_Sec5.AA (11)",,,"qal: pierce, thrust through; ni: be pierced through; pu: be pierced.","qal: pierce, thrust through; qal pass: ; ni: be pierced through; pi: ; pu: be pierced; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","pierce, thrust through","be pierced through",,"be pierced",,,,,,,,,,,,,"Remaining",,11,"Remaining",
,2208,11,2783,"VBX[","טבח ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","slaughter, kill",,,,"Mitchel_Sec5.AA (11)",,,"qal: slaughter, kill.","qal: slaughter, kill; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","slaughter, kill",,,,,,,,,,,,,,,,"Remaining",,11,"Remaining",
,2271,10,1373,"GDR[","גדר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","build a wall",,,,"Mitchel_Sec5.BB (10)",,,"qal: erect a wall.","qal: erect a wall; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","erect a wall",,,,,,,,,,,,,,,,"Remaining",,10,"Remaining",
,2303,10,6226,"PZR[","פזר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif piel pual qal","scatter",,,,"Mitchel_Sec5.BB (10)",,,"pi: disperse, scatter; qal: dispersed; ni: be scattered; pu: scattered.","pi: disperse, scatter; qal: dispersed; qal pass: ; ni: be scattered; pu: scattered; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","dispersed","be scattered","disperse, scatter","scattered",,,,,,,,,,,,,"Remaining",,10,"Remaining",
,2316,10,2789,"VB<[","טבע ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hof pual qal","sink, sink down",,,,"Mitchel_Sec5.BB (10)",,,"qal: sink in; pu: be sunk; ho: be sunk.","qal: sink in; qal pass: ; ni: ; pi: ; pu: be sunk; hit: ; hi: ; ho: be sunk; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","sink in",,,"be sunk",,,"be sunk",,,,,,,,,,"Remaining",,10,"Remaining",
,2382,9,8019,"CS<[","שׁסע ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","piel qal","split",,,,,,,"qal: split; pi: tear.","qal: split; qal pass: ; ni: ; pi: tear; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","split",,"tear",,,,,,,,,,,,,,"Remaining",,9,"Remaining",
,2434,9,6497,"PTR[","פתר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","interpret",,,,,,,"qal: interpret.","qal: interpret; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","interpret",,,,,,,,,,,,,,,,"Remaining",,9,"Remaining",
,2435,9,6482,"PTX=[","פתח II",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","piel pual","engrave",,,,,,,"pi: engrave; pu: be engraved.","pi: engrave; qal: ; qal pass: ; ni: ; pu: be engraved; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,,"engrave","be engraved",,,,,,,,,,,,,"Remaining",,9,"Remaining",
,2436,9,6245,"PVR[","פטר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif qal","set free; escape",,,,,,,"qal: set free; escape; hi: open mouth despisingly.","qal: set free; escape; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: open mouth despisingly; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","set free; escape",,,,,"open mouth despisingly",,,,,,,,,,,"Remaining",,9,"Remaining",
,2514,8,7508,"CBX[","שׁבח I",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hit piel","praise",,,,,,,"pi: praise; hit: boast of.","pi: praise; qal: ; qal pass: ; ni: ; pu: ; hit: boast of; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,,"praise",,"boast of",,,,,,,,,,,,"Remaining",,8,"Remaining",
,2539,8,7547,"FBR[","שׂבר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","piel qal","examine",,,,,,,"pi: hope, wait; qal: examine.","pi: hope, wait; qal: examine; qal pass: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","examine",,"hope, wait",,,,,,,,,,,,,,"Remaining",,8,"Remaining",
,2711,7,1177,"BQR[","בקר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","piel","pay attention",,,,,,,"pi: pay attention.","pi: pay attention; qal: ; qal pass: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,,"pay attention",,,,,,,,,,,,,,"Remaining",,7,"Remaining",
,2714,7,1158,"BYR[","בצר I",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","gather grapes",,,,,,,"qal: gather grapes.","qal: gather grapes; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","gather grapes",,,,,,,,,,,,,,,,"Remaining",,7,"Remaining",
,2717,7,7574,"CG<[","שׁגע ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hit pual","be mad",,,,,,,"pu: be mad; hit: behave as a madman.","pu: be mad; qal: ; qal pass: ; ni: ; pi: ; hit: behave as a madman; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=4",,,,"be mad","behave as a madman",,,,,,,,,,,,"Remaining",,7,"Remaining",
,2802,7,6335,"PSX[","פסח ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif piel qal","be lame, limp; pass over; spare",,,,,,,"qal: be lame, limp; pass over; spare; ni: be lamed; pi: limp around.","qal: be lame, limp; pass over; spare; qal pass: ; ni: be lamed; pi: limp around; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be lame, limp; pass over; spare","be lamed","limp around",,,,,,,,,,,,,,"Remaining",,7,"Remaining",
,2805,7,6365,"PYR[","פצר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif qal","urge",,,,,,,"qal: urge (someone); hi: (meaning uncertain).","qal: urge (someone); qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: (meaning uncertain); ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","urge (someone)",,,,,"(meaning uncertain)",,,,,,,,,,,"Remaining",,7,"Remaining",
,2806,7,6357,"PYX[","פצח I",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","be joyful",,,,,,,"qal: be joyful.","qal: be joyful; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be joyful",,,,,,,,,,,,,,,,"Remaining",,7,"Remaining",
,2859,7,6532,"YBR[","צבר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","heap up",,,,,,,"qal: heap up.","qal: heap up; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","heap up",,,,,,,,,,,,,,,,"Remaining",,7,"Remaining",
,2927,6,1047,"BL<=[","בלע II",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hit nif piel pual","be confused",,,,,,,"pi: confuse; ni: be confused; pu: be confused; hit: prove confused.","pi: confuse; qal: ; qal pass: ; ni: be confused; pu: be confused; hit: prove confused; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,"be confused","confuse","be confused","prove confused",,,,,,,,,,,,"Remaining",,6,"Remaining",
,2936,6,8128,"CQ<[","שׁקע ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif nif qal","subside",,,,,,,"qal: subside; ni: sink; hi: hold down; let settle.","qal: subside; qal pass: ; ni: sink; pi: ; pu: ; hit: ; hi: hold down; let settle; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","subside","sink",,,,"hold down; let settle",,,,,,,,,,,"Remaining",,6,"Remaining",
,2937,6,8138,"CQR[","שׁקר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","piel qal","deceive",,,,,,,"pi: deceive; qal: deceive.","pi: deceive; qal: deceive; qal pass: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","deceive",,"deceive",,,,,,,,,,,,,,"Remaining",,6,"Remaining",
,2940,6,7727,"CVX[","שׁטח ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","piel qal","spread out",,,,,,,"qal: spread out; pi: stretch out.","qal: spread out; qal pass: ; ni: ; pi: stretch out; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","spread out",,"stretch out",,,,,,,,,,,,,,"Remaining",,6,"Remaining",
,2994,6,3678,"KTR[","כתר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif piel","surround; wait for",,,,,,,"hi: surround; bear as head-dress; pi: surround; wait for.","hi: surround; bear as head-dress; qal: ; qal pass: ; ni: ; pi: surround; wait for; pu: ; hit: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","H=6",,,"surround; wait for",,,"surround; bear as head-dress",,,,,,,,,,,"Remaining",,6,"Remaining",
,3054,6,6800,"QB<[","קבע ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","deceive; rob",,,,,,,"qal: deceive; rob.","qal: deceive; rob; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","deceive; rob",,,,,,,,,,,,,,,,"Remaining",,6,"Remaining",
,3243,5,1621,"DBR=[","דבר II",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif piel","turn the back",,,,,,,"pi: turn the back; hi: drive back.","pi: turn the back; qal: ; qal pass: ; ni: ; pu: ; hit: ; hi: drive back; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,,"turn the back",,,"drive back",,,,,,,,,,,"Remaining",,5,"Remaining",
,3266,5,1511,"GMR[","גמר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","be ended",,,,,,,"qal: be ended.","qal: be ended; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be ended",,,,,,,,,,,,,,,,"Remaining",,5,"Remaining",
,3370,5,6279,"PLX[","פלח ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","piel qal","cleave",,,,,,,"pi: cleave; cut in pieces; give birth; qal: cleave.","pi: cleave; cut in pieces; give birth; qal: cleave; qal pass: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","cleave",,"cleave; cut in pieces; give birth",,,,,,,,,,,,,,"Remaining",,5,"Remaining",
,3379,5,6814,"QDX[","קדח ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","kindle; be kindled",,,,,,,"qal: kindle; be kindled.","qal: kindle; be kindled; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","kindle; be kindled",,,,,,,,,,,,,,,,"Remaining",,5,"Remaining",
,3412,5,5456,"SPX[","ספח ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hit nif piel pual qal","attach to",,,,,,,"hit: feel oneself attached to; qal: attach to; ni: attach oneself to; pi: join; pu: join together.","hit: feel oneself attached to; qal: attach to; qal pass: ; ni: attach oneself to; pi: join; pu: join together; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=5","attach to","attach oneself to","join","join together","feel oneself attached to",,,,,,,,,,,,"Remaining",,5,"Remaining",
,3556,4,1017,"BKR[","בכר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif piel pual","produce new fruit",,,,,,,"pi: produce new fruit; pu: belong as firstborn to; hi: give birth for the first time.","pi: produce new fruit; qal: ; qal pass: ; ni: ; pu: belong as firstborn to; hit: ; hi: give birth for the first time; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,,"produce new fruit","belong as firstborn to",,"give birth for the first time",,,,,,,,,,,"Remaining",,4,"Remaining",
,3566,4,1157,"BYR=[","בצר II",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif piel","be withheld",,,,,,,"ni: be withheld; pi: make inaccessible.","ni: be withheld; qal: ; qal pass: ; pi: make inaccessible; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","N=2",,"be withheld","make inaccessible",,,,,,,,,,,,,,"Remaining",,4,"Remaining",
,3673,4,3528,"KMR[","כמר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif","grow hot, excited",,,,,,,"ni: grow hot, excited.","ni: grow hot, excited; qal: ; qal pass: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","N=2",,"grow hot, excited",,,,,,,,,,,,,,,"Remaining",,4,"Remaining",
,3714,4,4278,"MLX[","מלח I",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hof pual qal","salt",,,,,,,"ho: be rubbed with salt; qal: salt; pu: be salted.","ho: be rubbed with salt; qal: salt; qal pass: ; ni: ; pi: ; pu: be salted; hit: ; hi: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","H=7","salt",,,"be salted",,,"be rubbed with salt",,,,,,,,,,"Remaining",,4,"Remaining",
,3798,4,6944,"QL<[","קלע I",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","piel qal","sling",,,,,,,"pi: sling; qal: sling.","pi: sling; qal: sling; qal pass: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","sling",,"sling",,,,,,,,,,,,,,"Remaining",,4,"Remaining",
,3849,4,8469,"TPR[","תפר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","piel qal","sew together",,,,,,,"qal: sew together; pi: sew together.","qal: sew together; qal pass: ; ni: ; pi: sew together; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","sew together",,"sew together",,,,,,,,,,,,,,"Remaining",,4,"Remaining",
,3891,4,6645,"YL<[","צלע ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","limp, be lame",,,,,,,"qal: limp, be lame.","qal: limp, be lame; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","limp, be lame",,,,,,,,,,,,,,,,"Remaining",,4,"Remaining",
,4071,3,7507,"CBX=[","שׁבח II",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif piel","calm",,,,,,,"pi: calm; hi: calm.","pi: calm; qal: ; qal pass: ; ni: ; pu: ; hit: ; hi: calm; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,,"calm",,,"calm",,,,,,,,,,,"Remaining",,3,"Remaining",
,4077,3,7569,"CGX[","שׁגח ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif","look",,,,,,,"hi: look.","hi: look; qal: ; qal pass: ; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","H=6",,,,,,"look",,,,,,,,,,,"Remaining",,3,"Remaining",
,4116,3,1716,"DLX[","דלח ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","make turbid",,,,,,,"qal: make turbid.","qal: make turbid; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","make turbid",,,,,,,,,,,,,,,,"Remaining",,3,"Remaining",
,4143,3,1491,"GL<[","גלע ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hit","burst out",,,,,,,"hit: burst out.","hit: burst out; qal: ; qal pass: ; ni: ; pi: ; pu: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=5",,,,,"burst out",,,,,,,,,,,,"Remaining",,3,"Remaining",
,4208,3,3664,"KCR[","כשׁר ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif qal","be proper, suitable, succeed",,,,,,,"qal: be proper, suitable, succeed; hi: give success.","qal: be proper, suitable, succeed; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: give success; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be proper, suitable, succeed",,,,,"give success",,,,,,,,,,,"Remaining",,3,"Remaining",
,4375,3,6199,"PWX=[","פוח II",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif qal","breathe, blow",,,,,,,"qal: breathe, blow; hi: cause to exhale.","qal: breathe, blow; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: cause to exhale; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","breathe, blow",,,,,"cause to exhale",,,,,,,,,,,"Remaining",,3,"Remaining",
,4377,3,6363,"PY<[","פצע ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","bruise",,,,,,,"qal: bruise.","qal: bruise; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","bruise",,,,,,,,,,,,,,,,"Remaining",,3,"Remaining",
,4384,3,6943,"QL<=[","קלע II",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","carve",,,,,,,"qal: carve.","qal: carve; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","carve",,,,,,,,,,,,,,,,"Remaining",,3,"Remaining",
,4399,3,7005,"QY<[","קצע I",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hof pual","set in corners",,,,,,,"pu: set in corners; ho: set in corners.","pu: set in corners; qal: ; qal pass: ; ni: ; pi: ; hit: ; hi: ; ho: set in corners; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=4",,,,"set in corners",,,"set in corners",,,,,,,,,,"Remaining",,3,"Remaining",
,4431,3,5390,"SKR[","סכר I",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif piel","be stopped, shut up",,,,,,,"ni: be stopped, shut up; pi: deliver.","ni: be stopped, shut up; qal: ; qal pass: ; pi: deliver; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","N=2",,"be stopped, shut up","deliver",,,,,,,,,,,,,,"Remaining",,3,"Remaining",
,4520,3,6683,"YNX[","צנח ",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","qal","go down; penetrate",,,,,,,"qal: go down; penetrate.","qal: go down; penetrate; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","go down; penetrate",,,,,,,,,,,,,,,,"Remaining",,3,"Remaining",
,4536,3,2065,"ZMR=[","זמר II",,,,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif qal","prune",,,,,,,"qal: prune; ni: be pruned.","qal: prune; qal pass: ; ni: be pruned; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","prune","be pruned",,,,,,,,,,,,,,,"Remaining",,3,"Remaining",
